1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
1, run2
2, run2
3, run2
4, run2
5, run2
150, run0
150, run0
180, run0
150, run0
180, run0
200, run0
150, run0
180, run0
200, run0
215, run0
150, run0
180, run0
200, run0
215, run0
245, run0
150, run0
180, run0
200, run0
215, run0
245, run0
279, run0
150, run0
180, run0
200, run0
215, run0
245, run0
279, run0
296, run0
150, run0
180, run0
200, run0
215, run0
245, run0
279, run0
296, run0
309, run0
150, run0
180, run0
200, run0
215, run0
245, run0
279, run0
296, run0
309, run0
1616, run0
150, run0
180, run0
200, run0
215, run0
245, run0
279, run0
296, run0
309, run0
1616, run0
1665, run0
150, run0
180, run0
200, run0
215, run0
245, run0
279, run0
296, run0
309, run0
1616, run0
1665, run0
1914, run0
861401541671788350, 110
0, 131
0, 143
0, 154
0, 166
0, 177
0, 189
0, 202
0, 214
0, 228
0, 242
0, 256
